study,scale,guesser,respondent,strata,est,se,df,lower_CI,upper_CI,model_name,trial_id
mock,scale1,self,self,PLPL,19.84615,0.871724,96.0,18.1158,21.57651,on_on_0,3
mock,scale1,self,self,ACPL,28.125,1.571523,96.0,25.00555,31.24445,on_on_0,3
mock,scale1,self,self,PLAC,27.9375,1.111234,96.0,25.73172,30.14328,on_on_0,3
mock,scale1,self,self,ACAC,37.36,0.6286091,96.0,36.11222,38.60778,on_on_0,3
