study,scale,guesser,respondent,model_type,df1,df2,f,adjr2,p,model_name,trial_id
mock,scale1,self,self,without_guess,1.0,98.0,152.96146777941823,0.6055171302750918,9.98444474115002e-22,on_on_0,1
mock,scale1,self,self,with_guess,3.0,96.0,84.53520310632362,0.716823765520092,7.685282957315694e-27,on_on_0,1
