study,scale,guesser,respondent,model_type,df1,df2,f,adjr2,p,model_name,trial_id
mock,scale1,self,self,without_guess,1.0,98.0,88.22367029130932,0.4683812221876279,2.5183306189562017e-15,on_on_0,4
mock,scale1,self,self,with_guess,3.0,96.0,55.340063780355266,0.6221665227656676,7.393490891204725e-21,on_on_0,4
