study,scale,guesser,respondent,contrast,type,est,se,df,t,p,p_adj,model_name,trial_id
mock,scale1,self,self,PLPLvsPLAC,fixCondition,-9.222222,1.37858,96.0,-6.689655,1.48843e-09,9.332257e-09,off_on_0,2
mock,scale1,self,self,ACPLvsACAC,fixCondition,-6.270833,1.536889,96.0,-4.080212,9.300142e-05,0.000532153,off_on_0,2
mock,scale1,self,self,PLPLvsACPL,fixGuess,-2.333333,1.664114,96.0,-1.402148,0.1640964,0.5011242,off_on_0,2
mock,scale1,self,self,PLACvsACAC,fixGuess,0.6180556,1.22198,96.0,0.5057819,0.6141692,0.9575275,off_on_0,2
