study,scale,guesser,respondent,model_type,component,est,se,t,p
sbmd,creativity,self,self,without_guess,intercept,51.09929078014186,1.6018195276358393,31.900779019444485,1.3229801546740794e-86
sbmd,creativity,self,self,without_guess,conditionAC,6.433317915510331,2.5491631431449444,2.523697995873831,0.012284929103235762
sbmd,creativity,self,self,with_guess,intercept,46.18627450980393,1.733576745690732,26.64218623410371,4.1964721622176613e-72
sbmd,creativity,self,self,with_guess,conditionAC,4.063725490196078,3.157862109975209,1.2868597008588132,0.19944248222472832
sbmd,creativity,self,self,with_guess,guessAC,17.762443438914026,3.2962513867490366,5.388679853217272,1.7602414213471008e-07
sbmd,creativity,self,self,with_guess,conditionAC:guessAC,-3.804110105580689,4.921210794622768,-0.773002877612417,0.4403178163371615
