study,scale,guesser,respondent,model_type,df1,df2,f,adjr2,p
sbmd,creativity,self,self,without_guess,1.0,231.0,6.369051574377587,0.02261900419943852,0.012284929103235778
sbmd,creativity,self,self,with_guess,3.0,229.0,17.048587490503436,0.17185968492529513,4.987280740407844e-10
