study,scale,guesser,respondent,strata,est,se,df,lower_CI,upper_CI,cgr,cgr_trial_id
sbmd,PANAS,self,self,PLPL,11.39241,0.9832555,229.0,9.455021,13.32979,0.5,14
sbmd,PANAS,self,self,ACPL,12.54839,1.109901,229.0,10.36146,14.73531,0.5,14
sbmd,PANAS,self,self,PLAC,19.47273,1.178416,229.0,17.1508,21.79465,0.5,14
sbmd,PANAS,self,self,ACAC,15.13514,1.436743,229.0,12.30421,17.96606,0.5,14
sbmd,PANAS,self,self,PLPL,13.29114,1.004506,229.0,11.31188,15.2704,0.5,15
sbmd,PANAS,self,self,ACPL,9.887097,1.133889,229.0,7.652909,12.12128,0.5,15
sbmd,PANAS,self,self,PLAC,16.98182,1.203885,229.0,14.60971,19.35393,0.5,15
sbmd,PANAS,self,self,ACAC,19.40541,1.467795,229.0,16.5133,22.29751,0.5,15
sbmd,PANAS,self,self,PLPL,12.96203,1.009861,229.0,10.97222,14.95183,0.5,16
sbmd,PANAS,self,self,ACPL,13.22581,1.139933,229.0,10.97971,15.47191,0.5,16
sbmd,PANAS,self,self,PLAC,19.32727,1.210303,229.0,16.94252,21.71203,0.5,16
sbmd,PANAS,self,self,ACAC,18.7027,1.47562,229.0,15.79518,21.61023,0.5,16
sbmd,PANAS,self,self,PLPL,10.37975,1.041965,229.0,8.326682,12.43281,0.5,17
sbmd,PANAS,self,self,ACPL,9.645161,1.176172,229.0,7.327658,11.96266,0.5,17
sbmd,PANAS,self,self,PLAC,18.30909,1.248779,229.0,15.84853,20.76966,0.5,17
sbmd,PANAS,self,self,ACAC,18.37838,1.52253,229.0,15.37842,21.37834,0.5,17
sbmd,PANAS,self,self,PLPL,9.822785,0.9828596,229.0,7.886181,11.75939,0.5,18
sbmd,PANAS,self,self,ACPL,12.27419,1.109454,229.0,10.08815,14.46024,0.5,18
sbmd,PANAS,self,self,PLAC,17.43636,1.177941,229.0,15.11537,19.75735,0.5,18
sbmd,PANAS,self,self,ACAC,20.91892,1.436164,229.0,18.08913,23.7487,0.5,18
sbmd,PANAS,self,self,PLPL,11.68354,1.123235,229.0,9.470347,13.89674,0.5,19
sbmd,PANAS,self,self,ACPL,11.67742,1.26791,229.0,9.179158,14.17568,0.5,19
sbmd,PANAS,self,self,PLAC,18.6,1.346179,229.0,15.94752,21.25248,0.5,19
sbmd,PANAS,self,self,ACAC,21.75676,1.641283,229.0,18.52281,24.9907,0.5,19
sbmd,PANAS,self,self,PLPL,12.41772,0.977866,229.0,10.49096,14.34449,0.5,20
sbmd,PANAS,self,self,ACPL,11.16129,1.103817,229.0,8.986354,13.33623,0.5,20
sbmd,PANAS,self,self,PLAC,18.65455,1.171957,229.0,16.34535,20.96374,0.5,20
sbmd,PANAS,self,self,ACAC,19.02703,1.428868,229.0,16.21162,21.84244,0.5,20
sbmd,PANAS,self,self,PLPL,10.11392,0.9535696,229.0,8.235032,11.99282,0.5,21
sbmd,PANAS,self,self,ACPL,13.29032,1.076391,229.0,11.16943,15.41122,0.5,21
sbmd,PANAS,self,self,PLAC,17.61818,1.142838,229.0,15.36636,19.87,0.5,21
sbmd,PANAS,self,self,ACAC,22.13514,1.393366,229.0,19.38968,24.88059,0.5,21
sbmd,PANAS,self,self,PLPL,9.886076,1.066633,229.0,7.784407,11.98774,0.5,22
sbmd,PANAS,self,self,ACPL,11.27419,1.204017,229.0,8.901826,13.64656,0.5,22
sbmd,PANAS,self,self,PLAC,19.36364,1.278342,229.0,16.84482,21.88245,0.5,22
sbmd,PANAS,self,self,ACAC,22.54054,1.558575,229.0,19.46956,25.61152,0.5,22
sbmd,PANAS,self,self,PLPL,12.63291,1.066669,229.0,10.53117,14.73465,0.5,23
sbmd,PANAS,self,self,ACPL,11.91935,1.204058,229.0,9.546907,14.2918,0.5,23
