study,scale,guesser,respondent,contrast,type,est,se,df,t,p,p_adj,cgr,cgr_trial_id
sbmd,PANAS,self,self,ACPLvsACAC,fixCondition,-8.023976,1.913692,229.0,-4.19293,3.936495e-05,0.0002291957,0.5,67
sbmd,PANAS,self,self,PLPLvsACPL,fixGuess,1.172111,1.562972,229.0,0.7499244,0.45407,0.8766296,0.5,67
sbmd,PANAS,self,self,PLACvsACAC,fixGuess,-1.914005,1.958677,229.0,-0.9771928,0.3295049,0.7625848,0.5,67
sbmd,PANAS,self,self,PLPLvsPLAC,fixCondition,-4.927043,1.607762,229.0,-3.064535,0.002441523,0.01295668,0.5,68
sbmd,PANAS,self,self,ACPLvsACAC,fixCondition,-7.40279,1.901889,229.0,-3.892336,0.0001302365,0.0007473419,0.5,68
sbmd,PANAS,self,self,PLPLvsACPL,fixGuess,-0.2249898,1.553332,229.0,-0.1448433,0.884962,0.9989137,0.5,68
sbmd,PANAS,self,self,PLACvsACAC,fixGuess,-2.700737,1.946596,229.0,-1.387415,0.1666639,0.5085188,0.5,68
sbmd,PANAS,self,self,PLPLvsPLAC,fixCondition,-4.914384,1.497158,229.0,-3.282476,0.001189891,0.006492015,0.5,69
sbmd,PANAS,self,self,ACPLvsACAC,fixCondition,-7.97864,1.77105,229.0,-4.505032,1.058019e-05,6.224371e-05,0.5,69
sbmd,PANAS,self,self,PLPLvsACPL,fixGuess,3.25541,1.446473,229.0,2.250586,0.02536161,0.1129638,0.5,69
sbmd,PANAS,self,self,PLACvsACAC,fixGuess,0.1911548,1.812683,229.0,0.1054541,0.9161078,0.9995792,0.5,69
sbmd,PANAS,self,self,PLPLvsPLAC,fixCondition,-9.082394,1.578239,229.0,-5.754763,2.767083e-08,1.654934e-07,0.5,70
sbmd,PANAS,self,self,ACPLvsACAC,fixCondition,-4.374455,1.866965,229.0,-2.343083,0.01998214,0.09144464,0.5,70
sbmd,PANAS,self,self,PLPLvsACPL,fixGuess,-4.502042,1.524809,229.0,-2.952528,0.003480011,0.01815946,0.5,70
sbmd,PANAS,self,self,PLACvsACAC,fixGuess,0.2058968,1.910852,229.0,0.1077513,0.9142873,0.9995512,0.5,70
sbmd,PANAS,self,self,PLPLvsPLAC,fixCondition,-7.096663,1.583218,229.0,-4.48243,1.166438e-05,6.857937e-05,0.5,71
sbmd,PANAS,self,self,ACPLvsACAC,fixCondition,-7.788579,1.872854,229.0,-4.158668,4.527282e-05,0.0002632237,0.5,71
sbmd,PANAS,self,self,PLPLvsACPL,fixGuess,-2.165578,1.529619,229.0,-1.415763,0.1582036,0.4907922,0.5,71
sbmd,PANAS,self,self,PLACvsACAC,fixGuess,-2.857494,1.91688,229.0,-1.490701,0.1374162,0.4447741,0.5,71
sbmd,PANAS,self,self,PLPLvsPLAC,fixCondition,-5.660069,1.631259,229.0,-3.469756,0.0006223437,0.003461436,0.5,72
sbmd,PANAS,self,self,ACPLvsACAC,fixCondition,-5.730602,1.929684,229.0,-2.96971,0.003298051,0.01725659,0.5,72
sbmd,PANAS,self,self,PLPLvsACPL,fixGuess,-0.1486321,1.576034,229.0,-0.0943077,0.9249472,0.9996988,0.5,72
sbmd,PANAS,self,self,PLACvsACAC,fixGuess,-0.2191646,1.975045,229.0,-0.1109669,0.9117398,0.9995099,0.5,72
sbmd,PANAS,self,self,PLPLvsPLAC,fixCondition,-9.206214,1.755126,229.0,-5.245328,3.547554e-07,2.113985e-06,0.5,73
sbmd,PANAS,self,self,ACPLvsACAC,fixCondition,-3.594159,2.076212,229.0,-1.731113,0.08477847,0.3099532,0.5,73
sbmd,PANAS,self,self,PLPLvsACPL,fixGuess,-3.780114,1.695708,229.0,-2.229225,0.02676994,0.1184566,0.5,73
sbmd,PANAS,self,self,PLACvsACAC,fixGuess,1.831941,2.125018,229.0,0.8620826,0.3895439,0.8243571,0.5,73
sbmd,PANAS,self,self,PLPLvsPLAC,fixCondition,-8.544534,1.756406,229.0,-4.864782,2.131494e-06,1.26378e-05,0.5,74
sbmd,PANAS,self,self,ACPLvsACAC,fixCondition,-7.005231,2.077726,229.0,-3.371585,0.0008771936,0.004832277,0.5,74
sbmd,PANAS,self,self,PLPLvsACPL,fixGuess,-1.803185,1.696944,229.0,-1.062607,0.2890795,0.7126083,0.5,74
sbmd,PANAS,self,self,PLACvsACAC,fixGuess,-0.2638821,2.126567,229.0,-0.1240883,0.9013542,0.9993155,0.5,74
sbmd,PANAS,self,self,PLPLvsPLAC,fixCondition,-9.047181,1.6697,229.0,-5.418446,1.519278e-07,9.067376e-07,0.5,75
sbmd,PANAS,self,self,ACPLvsACAC,fixCondition,-6.56626,1.975158,229.0,-3.324422,0.001031624,0.005654741,0.5,75
sbmd,PANAS,self,self,PLPLvsACPL,fixGuess,-2.441609,1.613174,229.0,-1.513543,0.1315206,0.4310458,0.5,75
sbmd,PANAS,self,self,PLACvsACAC,fixGuess,0.03931204,2.021588,229.0,0.01944612,0.9845022,0.9999974,0.5,75
sbmd,PANAS,self,self,PLPLvsPLAC,fixCondition,-11.96916,1.711428,229.0,-6.993669,2.912601e-11,1.747249e-10,0.5,76
sbmd,PANAS,self,self,ACPLvsACAC,fixCondition,-4.43592,2.02452,229.0,-2.191097,0.02945313,0.1287728,0.5,76
sbmd,PANAS,self,self,PLPLvsACPL,fixGuess,-4.632503,1.653489,229.0,-2.801654,0.005519167,0.02806565,0.5,76
sbmd,PANAS,self,self,PLACvsACAC,fixGuess,2.900737,2.07211,229.0,1.399895,0.1628979,0.5006968,0.5,76
sbmd,PANAS,self,self,PLPLvsPLAC,fixCondition,-6.638205,1.706598,229.0,-3.88973,0.000131555,0.0007547948,0.5,77
sbmd,PANAS,self,self,ACPLvsACAC,fixCondition,-8.757629,2.018806,229.0,-4.338024,2.156359e-05,0.000126221,0.5,77
sbmd,PANAS,self,self,PLPLvsACPL,fixGuess,2.509596,1.648822,229.0,1.522053,0.1293753,0.4259722,0.5,77
sbmd,PANAS,self,self,PLACvsACAC,fixGuess,0.390172,2.066262,229.0,0.1888299,0.8503934,0.9976063,0.5,77
sbmd,PANAS,self,self,PLPLvsPLAC,fixCondition,-9.153049,1.682361,229.0,-5.440598,1.361107e-07,8.124778e-07,0.5,78
sbmd,PANAS,self,self,ACPLvsACAC,fixCondition,-6.020488,1.990135,229.0,-3.025166,0.002768649,0.01460913,0.5,78
sbmd,PANAS,self,self,PLPLvsACPL,fixGuess,-3.397918,1.625406,229.0,-2.090504,0.0376757,0.1592756,0.5,78
sbmd,PANAS,self,self,PLACvsACAC,fixGuess,-0.2653563,2.036917,229.0,-0.1302735,0.8964644,0.9992084,0.5,78
sbmd,PANAS,self,self,PLPLvsPLAC,fixCondition,-7.87664,1.709412,229.0,-4.607808,6.757909e-06,3.986102e-05,0.5,79
sbmd,PANAS,self,self,ACPLvsACAC,fixCondition,-5.877071,2.022134,229.0,-2.90637,0.004015289,0.02079605,0.5,79
sbmd,PANAS,self,self,PLPLvsACPL,fixGuess,-1.207432,1.651541,229.0,-0.731094,0.4654691,0.8845311,0.5,79
sbmd,PANAS,self,self,PLACvsACAC,fixGuess,0.7921376,2.069669,229.0,0.3827364,0.7022702,0.9808837,0.5,79
sbmd,PANAS,self,self,PLPLvsPLAC,fixCondition,-9.072497,1.672877,229.0,-5.423289,1.483234e-07,8.852598e-07,0.5,80
sbmd,PANAS,self,self,ACPLvsACAC,fixCondition,-6.744551,1.978916,229.0,-3.408204,0.0007724704,0.004271156,0.5,80
sbmd,PANAS,self,self,PLPLvsACPL,fixGuess,-4.450796,1.616243,229.0,-2.753791,0.006363833,0.03207033,0.5,80
sbmd,PANAS,self,self,PLACvsACAC,fixGuess,-2.12285,2.025435,229.0,-1.048096,0.2956993,0.7213,0.5,80
sbmd,PANAS,self,self,PLPLvsPLAC,fixCondition,-8.024166,1.661857,229.0,-4.828434,2.516507e-06,1.491117e-05,0.5,81
sbmd,PANAS,self,self,ACPLvsACAC,fixCondition,-7.418919,1.96588,229.0,-3.773841,0.0002047939,0.001166628,0.5,81
sbmd,PANAS,self,self,PLPLvsACPL,fixGuess,-0.06962025,1.605596,229.0,-0.04336101,0.9654515,0.9999706,0.5,81
sbmd,PANAS,self,self,PLACvsACAC,fixGuess,0.5356265,2.012092,229.0,0.2662038,0.7903218,0.9933823,0.5,81
sbmd,PANAS,self,self,PLPLvsPLAC,fixCondition,-8.439816,1.694658,229.0,-4.980247,1.250126e-06,7.425531e-06,0.5,82
