study,scale,guesser,respondent,model_type,component,est,se,t,p,model_name,trial_id
mock,scale1,self,self,without_guess,intercept,20.538461538461533,0.5508539611776412,37.284766900020934,3.937395569278044e-67,on_off_m3,49
mock,scale1,self,self,without_guess,conditionAC,6.476244343891404,0.7317667016664674,8.850149001236213,1.0346232464828013e-14,on_off_m3,49
mock,scale1,self,self,with_guess,intercept,21.449999999999992,0.8875885296625377,24.16660342394838,4.259666920209525e-47,on_off_m3,49
mock,scale1,self,self,with_guess,conditionAC,4.675000000000004,1.6605260892138278,2.81537280887491,0.005726348489309427,on_off_m3,49
mock,scale1,self,self,with_guess,guessAC,-1.481249999999995,1.131457808197602,-1.3091517768210972,0.19307030490454466,on_off_m3,49
mock,scale1,self,self,with_guess,conditionAC:guessAC,2.489583333333328,1.874122389999851,1.328399546698509,0.18665369923554037,on_off_m3,49
