study,scale,guesser,respondent,model_type,component,est,se,t,p,model_name,trial_id
mock,scale1,self,self,without_guess,intercept,19.384615384615383,0.5790688869540185,33.4754911226212,4.40928073039539e-62,off_off_0,2
mock,scale1,self,self,without_guess,conditionAC,1.2771493212669685,0.7692480390594203,1.6602568435904919,0.09951794933373133,off_off_0,2
mock,scale1,self,self,with_guess,intercept,18.95454545454545,0.8866085922002308,21.378707155890922,4.7906720626245194e-42,off_off_0,2
mock,scale1,self,self,with_guess,conditionAC,3.9204545454545467,1.716910156097949,2.28343605023843,0.02422518789687875,off_off_0,2
mock,scale1,self,self,with_guess,guessAC,0.745454545454548,1.1672744518705434,0.63862833994179,0.5243236484380894,off_off_0,2
mock,scale1,self,self,with_guess,conditionAC:guessAC,-3.2537878787878807,1.952552882626201,-1.6664275307163547,0.0983263500976995,off_off_0,2
