study,scale,guesser,respondent,model_type,df1,df2,f,adjr2,p,model_name,trial_id
mock,scale1,self,self,without_guess,1.0,118.0,170.50899602748603,0.5875345253058835,1.1707147079298905e-24,on_on_p1,17
mock,scale1,self,self,with_guess,3.0,116.0,112.28628438646575,0.7372249671839487,3.6870822234941636e-34,on_on_p1,17
