study,scale,guesser,respondent,model_type,component,est,se,t,p,model_name,trial_id
mock,scale1,self,self,without_guess,intercept,22.307692307692307,0.704887031221418,31.64718787496751,1.7236031186564314e-59,off_on_m3,9
mock,scale1,self,self,without_guess,conditionAC,2.9128959276018103,0.9363876712107807,3.1107798801273603,0.0023401718559760585,off_on_m3,9
mock,scale1,self,self,with_guess,intercept,19.88888888888889,0.8918335012912088,22.30112331516307,9.232709978023303e-44,off_on_m3,9
mock,scale1,self,self,with_guess,conditionAC,0.9111111111111119,1.7154759916401476,0.5311127148098462,0.5963561517711384,off_on_m3,9
mock,scale1,self,self,with_guess,guessAC,5.031111111111112,1.2862205672328135,3.9115461525662663,0.00015497577762071512,off_on_m3,9
mock,scale1,self,self,with_guess,conditionAC:guessAC,0.15164750957854317,2.0425746694757434,0.0742433125431178,0.9409446601893974,off_on_m3,9
