study,scale,guesser,respondent,model_type,component,est,se,t,p,model_name,trial_id
mock,scale1,self,self,without_guess,intercept,20.076923076923073,0.6262614329943859,32.05837373846882,4.3978544705105443e-60,on_off_0,29
mock,scale1,self,self,without_guess,conditionAC,10.967194570135748,0.8319396709492488,13.18268013066633,5.99343076951362e-25,on_off_0,29
mock,scale1,self,self,with_guess,intercept,19.769230769230766,0.8872044785497739,22.282609305067517,9.984307561211324e-44,on_off_0,29
mock,scale1,self,self,with_guess,conditionAC,9.8974358974359,1.578791940504762,6.268993173521997,6.419068442496169e-09,on_off_0,29
mock,scale1,self,self,with_guess,guessAC,0.6153846153846181,1.25469660616324,0.4904648760200397,0.6247314490385607,on_off_0,29
mock,scale1,self,self,with_guess,conditionAC:guessAC,1.05723443223443,1.9092327836106988,0.5537483125734997,0.5808169421960359,on_off_0,29
