study,scale,guesser,respondent,model_type,df1,df2,f,adjr2,p,model_name,trial_id
mock,scale1,self,self,without_guess,1.0,118.0,25.6757801385932,0.17174627564082368,1.5104883873702526e-06,off_on_0,12
mock,scale1,self,self,with_guess,3.0,116.0,25.256681226755177,0.379465125437389,1.197093660844601e-12,off_on_0,12
