study,scale,guesser,respondent,model_type,df1,df2,f,adjr2,p,model_name,trial_id
mock,scale1,self,self,without_guess,1.0,118.0,63.9271834520497,0.34589214353794107,9.836033457369636e-13,on_on_m2=,30
mock,scale1,self,self,with_guess,3.0,116.0,36.27462582230404,0.47069679012402244,1.3030945868918944e-16,on_on_m2=,30
