study,scale,guesser,respondent,model_type,component,est,se,t,p,model_name,trial_id
mock,scale1,self,self,without_guess,intercept,20.634615384615383,0.6510309301729545,31.695291925889816,1.467998146158771e-59,on_off_m1,8
mock,scale1,self,self,without_guess,conditionAC,7.938914027149321,0.8648440240622745,9.179590546118714,1.7458826840044784e-15,on_off_m1,8
mock,scale1,self,self,with_guess,intercept,20.89189189189189,0.7738708066421658,26.996614567413452,7.701714049230509e-52,on_off_m1,8
mock,scale1,self,self,with_guess,conditionAC,9.233108108108107,1.8353957727757533,5.030581548166286,1.802398789549983e-06,on_off_m1,8
mock,scale1,self,self,with_guess,guessAC,-0.891891891891891,1.440869027575507,-0.6189958107383584,0.5371328549256715,on_off_m1,8
mock,scale1,self,self,with_guess,conditionAC:guessAC,-0.8664414414414425,2.283683877923966,-0.379405157525174,0.7050806755762188,on_off_m1,8
