study,scale,guesser,respondent,model_type,component,est,se,t,p,model_name,trial_id
mock,scale1,self,self,without_guess,intercept,25.13461538461538,0.8188554816824644,30.694812389815663,4.3062256382802186e-58,off_on_p3,40
mock,scale1,self,self,without_guess,conditionAC,3.9683257918552046,1.087785905526143,3.648076125729718,0.0003946873354836366,off_on_p3,40
mock,scale1,self,self,with_guess,intercept,20.899999999999995,0.7474471405687959,27.961843541331113,2.241825785424584e-53,off_on_p3,40
mock,scale1,self,self,with_guess,conditionAC,0.35000000000000353,1.398345557366148,0.25029578572784655,0.8028013726735307,off_on_p3,40
mock,scale1,self,self,with_guess,guessAC,10.009090909090911,1.1491343748688005,8.710113567208946,2.4516545425101295e-14,off_on_p3,40
mock,scale1,self,self,with_guess,conditionAC:guessAC,-0.47337662337662656,1.7368057615863068,-0.2725558803675716,0.7856792118741356,off_on_p3,40
