study,scale,guesser,respondent,model_type,component,est,se,t,p,model_name,trial_id
mock,scale1,self,self,without_guess,intercept,19.461538461538456,0.5513931966202069,35.29520962686693,1.4998293382652724e-64,off_off_0,43
mock,scale1,self,self,without_guess,conditionAC,0.9649321266968336,0.7324830340685878,1.3173439954466983,0.19027558113349072,off_off_0,43
mock,scale1,self,self,with_guess,intercept,19.89285714285714,0.7549654096818535,26.349362351899135,8.692846684227186e-51,off_off_0,43
mock,scale1,self,self,with_guess,conditionAC,-0.003968253968252599,1.5307584352280081,-0.002592344995088349,0.9979360631700098,off_off_0,43
mock,scale1,self,self,with_guess,guessAC,-0.934523809523808,1.1112789934432274,-0.8409443668400904,0.4021092507316776,off_off_0,43
mock,scale1,self,self,with_guess,conditionAC:guessAC,1.5541094969061058,1.8107139946029387,0.8582854617230137,0.3925048334895834,off_off_0,43
