study,scale,guesser,respondent,model_type,component,est,se,t,p,model_name,trial_id
mock,scale1,self,self,without_guess,intercept,20.576923076923073,0.5928165546204183,34.71043937040274,9.070123277848563e-64,on_off_p2,18
mock,scale1,self,self,without_guess,conditionAC,11.202488687782806,0.7875107477496531,14.225188316215892,2.3520818970188554e-27,on_off_p2,18
mock,scale1,self,self,with_guess,intercept,20.826086956521728,0.8950570019523876,23.267888984828666,1.6398026413224094e-45,on_off_p2,18
mock,scale1,self,self,with_guess,conditionAC,12.298913043478263,1.7619214702656267,6.980397963834383,1.9555805187131733e-10,on_off_p2,18
mock,scale1,self,self,with_guess,guessAC,-0.4467766116941481,1.1985423030050646,-0.3727666604457433,0.7100023608274375,on_off_p2,18
mock,scale1,self,self,with_guess,conditionAC:guessAC,-1.0782233883058507,2.0116765595269555,-0.5359824784951485,0.5929969260042127,on_off_p2,18
