study,scale,guesser,respondent,model_type,component,est,se,t,p,model_name,trial_id
mock,scale1,self,self,without_guess,intercept,23.961538461538463,0.7414976325310315,32.31505727098283,1.8879822914912833e-60,off_on_m2,4
mock,scale1,self,self,without_guess,conditionAC,1.0972850678733053,0.9850220114433317,1.1139700992726822,0.26755591928465694,off_on_m2,4
mock,scale1,self,self,with_guess,intercept,20.43478260869565,0.9526633444638943,21.450161515551123,3.5151857726292654e-42,off_on_m2,4
mock,scale1,self,self,with_guess,conditionAC,-1.162055335968376,1.6748756596479988,-0.6938158837490063,0.48918473554426645,off_on_m2,4
mock,scale1,self,self,with_guess,guessAC,6.323838080959522,1.2756811201651281,4.957224796225678,2.463883251807016e-06,off_on_m2,4
mock,scale1,self,self,with_guess,conditionAC:guessAC,0.5788732428044325,1.9726162257473085,0.29345456822709215,0.7696990866639037,off_on_m2,4
