study,scale,guesser,respondent,model_type,df1,df2,f,adjr2,p,model_name,trial_id
mock,scale1,self,self,without_guess,1.0,118.0,5.033933323835554,0.03278716054064457,0.0267210176710061,off_on_0,21
mock,scale1,self,self,with_guess,3.0,116.0,32.361092643445595,0.4415329013339815,2.839826536621046e-15,off_on_0,21
