study,scale,guesser,respondent,model_type,component,est,se,t,p,model_name,trial_id
mock,scale1,self,self,without_guess,intercept,23.423076923076923,0.7870054821584644,29.762279239575438,1.085875767375132e-56,off_on_p2,3
mock,scale1,self,self,without_guess,conditionAC,5.7092760180995485,1.045475655001794,5.4609363601964995,2.665825756015908e-07,off_on_p2,3
mock,scale1,self,self,with_guess,intercept,20.137931034482758,0.8059139284931439,24.98769449503822,1.641053176498316e-48,off_on_p2,3
mock,scale1,self,self,with_guess,conditionAC,-1.0129310344827567,1.7331834375345399,-0.5844338299953149,0.5600633946477519,off_on_p2,3
mock,scale1,self,self,with_guess,guessAC,7.4272863568215906,1.2117873526906107,6.129199434480234,1.2504839466960289e-08,off_on_p2,3
mock,scale1,self,self,with_guess,conditionAC:guessAC,3.9143803098450753,2.0339075278585512,1.9245615920240118,0.056733453545438094,off_on_p2,3
