study,scale,guesser,respondent,model_type,df1,df2,f,adjr2,p,model_name,trial_id
mock,scale1,self,self,without_guess,1.0,118.0,14.592939246708408,0.10251631288915597,0.00021432927955014055,off_on_m3,3
mock,scale1,self,self,with_guess,3.0,116.0,13.99507218339881,0.246764965744815,7.548260517662487e-08,off_on_m3,3
