study,scale,guesser,respondent,model_type,component,est,se,t,p,model_name,trial_id
mock,scale1,self,self,without_guess,intercept,19.88461538461538,0.6425771003299003,30.94510429084164,1.834515795030308e-58,off_off_0,46
mock,scale1,self,self,without_guess,conditionAC,0.012443438914028148,0.8536137677390265,0.014577364358809701,0.9883939762551179,off_off_0,46
mock,scale1,self,self,with_guess,intercept,19.75,0.9379461201139464,21.05664662017118,1.9486647880419924e-41,off_off_0,46
mock,scale1,self,self,with_guess,conditionAC,-3.416666666666666,2.097311283806967,-1.6290698920309294,0.10601101765487976,off_off_0,46
mock,scale1,self,self,with_guess,guessAC,0.25000000000000044,1.278205103990887,0.19558676398602678,0.8452758149208922,off_off_0,46
mock,scale1,self,self,with_guess,conditionAC:guessAC,3.658602150537635,2.3437844681000954,1.5609806278404725,0.12125245108787815,off_off_0,46
