study,scale,guesser,respondent,model_type,component,est,se,t,p,model_name,trial_id
mock,scale1,self,self,without_guess,intercept,20.211538461538467,0.6056128573016126,33.373694461497436,6.104597022354413e-62,on_off_p1,48
mock,scale1,self,self,without_guess,conditionAC,10.656108597285069,0.8045096419511667,13.245470335745074,4.281080965718703e-25,on_off_p1,48
mock,scale1,self,self,with_guess,intercept,19.680000000000003,0.8782178423307625,22.40901864139984,5.856005685349345e-44,on_off_p1,48
mock,scale1,self,self,with_guess,conditionAC,11.320000000000002,1.6429951384767854,6.889856053070694,3.07499891939517e-10,on_off_p1,48
mock,scale1,self,self,with_guess,guessAC,1.023703703703704,1.2187708150029717,0.8399476678486167,0.40266558154342347,on_off_p1,48
mock,scale1,self,self,with_guess,conditionAC:guessAC,-1.1788761174968083,1.9354615048468395,-0.6090930326150286,0.5436538317732704,on_off_p1,48
