study,scale,guesser,respondent,model_type,df1,df2,f,adjr2,p,model_name,trial_id
mock,scale1,self,self,without_guess,1.0,118.0,85.14856346709314,0.41422179921407065,1.345994553482175e-15,on_off_m2,0
mock,scale1,self,self,with_guess,3.0,116.0,28.92352018244545,0.41312979715208853,4.89512593919794e-14,on_off_m2,0
