study,scale,guesser,respondent,model_type,df1,df2,f,adjr2,p,model_name,trial_id
mock,scale1,self,self,without_guess,1.0,118.0,9.476014169223324,0.06649105107704012,0.0025892168907968743,off_on_p1,36
mock,scale1,self,self,with_guess,3.0,116.0,39.953641314403164,0.49546538693008435,8.279554147865345e-18,off_on_p1,36
