study,scale,guesser,respondent,model_type,component,est,se,t,p,model_name,trial_id
mock,scale1,self,self,without_guess,intercept,25.365384615384617,0.8131590684107752,31.193631849864637,7.904458667983716e-59,off_on_p1,13
mock,scale1,self,self,without_guess,conditionAC,1.8993212669683273,1.080218662944749,1.7582748124260779,0.08129347601329792,off_on_p1,13
mock,scale1,self,self,with_guess,intercept,20.499999999999993,0.9726988645294459,21.07538185512029,1.7953086799878553e-41,off_on_p1,13
mock,scale1,self,self,with_guess,conditionAC,0.2857142857142902,1.5597882392456686,0.183175048077337,0.8549804514709665,off_on_p1,13
mock,scale1,self,self,with_guess,guessAC,8.433333333333339,1.2806175621545182,6.585364423040593,1.3851529719475175e-09,off_on_p1,13
mock,scale1,self,self,with_guess,conditionAC:guessAC,-0.27460317460318007,1.874097999150698,-0.14652551506251246,0.8837608914231074,off_on_p1,13
