study,scale,guesser,respondent,model_type,component,est,se,t,p,model_name,trial_id
mock,scale1,self,self,without_guess,intercept,25.692307692307686,0.8330236400987986,30.842231187173173,2.6034433061296703e-58,off_on_p2,46
mock,scale1,self,self,without_guess,conditionAC,3.3518099547511335,1.1066072035174366,3.0289066835071616,0.003015640412769261,off_on_p2,46
mock,scale1,self,self,with_guess,intercept,20.999999999999996,0.9130709537114526,22.99930790114301,4.9701472181310764e-45,off_on_p2,46
mock,scale1,self,self,with_guess,conditionAC,-0.7142857142857125,1.9824967193228444,-0.36029603848710984,0.7192809640499995,off_on_p2,46
mock,scale1,self,self,with_guess,guessAC,9.384615384615385,1.2912773261476729,7.267699350543807,4.585692398164757e-11,off_on_p2,46
mock,scale1,self,self,with_guess,conditionAC:guessAC,0.37885065753918223,2.2625955755781693,0.16744073117988537,0.8673148341211591,off_on_p2,46
