study,scale,guesser,respondent,model_type,component,est,se,t,p,model_name,trial_id
mock,scale1,self,self,without_guess,intercept,19.096153846153847,0.537789199029301,35.508622859332306,7.824796297044937e-65,off_off_0,27
mock,scale1,self,self,without_guess,conditionAC,0.6097285067873307,0.7144111799145509,0.8534699958926439,0.3951279067771011,off_off_0,27
mock,scale1,self,self,with_guess,intercept,19.86206896551724,0.7151097955768057,27.77485232109923,4.416460735406947e-53,off_off_0,27
mock,scale1,self,self,with_guess,conditionAC,0.8879310344827612,1.3218252156559225,0.6717461763975715,0.5030809372556646,off_off_0,27
mock,scale1,self,self,with_guess,guessAC,-1.7316341829085442,1.07525254922122,-1.6104441548757322,0.1100188352577209,off_off_0,27
mock,scale1,self,self,with_guess,conditionAC:guessAC,0.46377704005139936,1.6299787597593103,0.2845294990959776,0.7765119431619735,off_off_0,27
