study,scale,guesser,respondent,model_type,component,est,se,t,p,model_name,trial_id
mock,scale1,self,self,without_guess,intercept,23.461538461538453,0.8801918723040231,26.655027386386397,9.11840738937566e-52,on_on_p2,10
mock,scale1,self,self,without_guess,conditionAC,17.082579185520363,1.1692665363657744,14.609653705317815,3.1308268390985645e-28,on_on_p2,10
mock,scale1,self,self,with_guess,intercept,19.448275862068957,0.816328345405255,23.824084967200456,1.6940612615978788e-46,on_on_p2,10
mock,scale1,self,self,with_guess,conditionAC,9.95172413793104,1.6121193111234409,6.173069244481639,1.0151178111358803e-08,on_on_p2,10
mock,scale1,self,self,with_guess,guessAC,9.073463268365822,1.2274466659913996,7.392144620016751,2.4314658998408504e-11,on_on_p2,10
mock,scale1,self,self,with_guess,conditionAC:guessAC,3.9920539730134874,1.942255906772967,2.0553697167775553,0.04208845541252599,on_on_p2,10
