study,scale,guesser,respondent,model_type,component,est,se,t,p,model_name,trial_id
mock,scale1,self,self,without_guess,intercept,19.788461538461537,0.617636796133577,32.03899389145504,4.688814471258934e-60,on_off_0,11
mock,scale1,self,self,without_guess,conditionAC,10.829185520361992,0.8204825107697836,13.198557407642923,5.504442526592204e-25,on_off_0,11
mock,scale1,self,self,with_guess,intercept,19.074074074074073,0.85863762025656,22.21434703545223,1.3328743397598815e-43,on_off_0,11
mock,scale1,self,self,with_guess,conditionAC,10.925925925925924,1.8923451489497236,5.773749007674396,6.597824806262335e-08,on_off_0,11
mock,scale1,self,self,with_guess,guessAC,1.4859259259259252,1.238344786750962,1.1999290842290702,0.23261184859195078,on_off_0,11
mock,scale1,self,self,with_guess,conditionAC:guessAC,-0.7974013357619905,2.1687639270662085,-0.36767548824028706,0.7137852152300692,on_off_0,11
