study,scale,guesser,respondent,model_type,component,est,se,t,p,model_name,trial_id
mock,scale1,self,self,without_guess,intercept,19.365384615384613,0.49127658210554315,39.41849727985662,8.986440101017393e-70,off_off_0,47
mock,scale1,self,self,without_guess,conditionAC,0.3110859728506801,0.6526227810448948,0.47667041648869457,0.6344783593732084,off_off_0,47
mock,scale1,self,self,with_guess,intercept,18.769230769230766,0.6962627411643736,26.95710923414144,8.918771908420023e-52,off_off_0,47
mock,scale1,self,self,with_guess,conditionAC,1.105769230769233,1.4353824125014012,0.7703655981420586,0.4426491723888395,off_off_0,47
mock,scale1,self,self,with_guess,guessAC,1.192307692307695,0.9846642115297253,1.2108774527870625,0.22840364386410572,off_off_0,47
mock,scale1,self,self,with_guess,conditionAC:guessAC,-1.4173076923076948,1.659872462039384,-0.8538654172058107,0.39493941332982485,off_off_0,47
