study,scale,guesser,respondent,model_type,df1,df2,f,adjr2,p,model_name,trial_id
mock,scale1,self,self,without_guess,1.0,118.0,6.378355187046941,0.04324189027068803,0.012878032533295246,off_on_m2,24
mock,scale1,self,self,with_guess,3.0,116.0,14.882141848935786,0.25924277745397384,2.9256892528083773e-08,off_on_m2,24
