study,scale,guesser,respondent,model_type,component,est,se,t,p,model_name,trial_id
mock,scale1,self,self,without_guess,intercept,20.115384615384617,0.6376047451519256,31.548360905927094,2.398387787317983e-59,on_off_0,19
mock,scale1,self,self,without_guess,conditionAC,10.546380090497737,0.8470083800963164,12.451329099363184,3.085754287364526e-23,on_off_0,19
mock,scale1,self,self,with_guess,intercept,19.892857142857146,0.8670355917606254,22.943530037172042,6.26377616903141e-45,on_off_0,19
mock,scale1,self,self,with_guess,conditionAC,8.707142857142856,1.6901635205041117,5.151657074308316,1.069717202557013e-06,on_off_0,19
mock,scale1,self,self,with_guess,guessAC,0.48214285714285526,1.2762418348374835,0.3777833040587102,0.7062819500163855,on_off_0,19
mock,scale1,self,self,with_guess,conditionAC:guessAC,1.9350985221674901,2.0240082433323203,0.9560724510595621,0.3410238934727158,on_off_0,19
