study,scale,guesser,respondent,model_type,component,est,se,t,p,model_name,trial_id
mock,scale1,self,self,without_guess,intercept,19.23076923076923,0.5317375066956898,36.16590702858748,1.0764253896852176e-65,off_off_0,5
mock,scale1,self,self,without_guess,conditionAC,1.4898190045248885,0.7063719766945185,2.109113970653997,0.03704899585422433,off_off_0,5
mock,scale1,self,self,with_guess,intercept,18.580645161290317,0.670979622793234,27.69181735197947,5.97460043190626e-53,off_off_0,5
mock,scale1,self,self,with_guess,conditionAC,4.41935483870968,1.2344229665645103,3.580097712382222,0.0005027706761880751,off_off_0,5
mock,scale1,self,self,with_guess,guessAC,1.6098310291858693,1.0558478880929012,1.5246808250889115,0.1300605221271267,off_off_0,5
mock,scale1,self,self,with_guess,conditionAC:guessAC,-4.428012847367688,1.5627405273695492,-2.8334920415873834,0.0054316132106869254,off_off_0,5
