study,scale,guesser,respondent,model_type,component,est,se,t,p,model_name,trial_id
mock,scale1,self,self,without_guess,intercept,24.942307692307693,0.8474734836163393,29.431372396306564,3.477698771001172e-56,off_on_p2,40
mock,scale1,self,self,without_guess,conditionAC,2.3518099547511304,1.1258026982867255,2.089007210881776,0.0388565554965182,off_on_p2,40
mock,scale1,self,self,with_guess,intercept,20.37931034482759,0.799491853843277,25.49032894689445,2.3178297853321037e-49,off_on_p2,40
mock,scale1,self,self,with_guess,conditionAC,-0.5331564986737398,1.437033895622773,-0.37101177661692086,0.7113054668632863,off_on_p2,40
mock,scale1,self,self,with_guess,guessAC,10.316341829085458,1.2021310003636392,8.581711831709532,4.857504269662926e-14,off_on_p2,40
mock,scale1,self,self,with_guess,conditionAC:guessAC,-1.107950220693849,1.7910957891384245,-0.6185879210998587,0.5374006617762948,off_on_p2,40
