study,scale,guesser,respondent,model_type,component,est,se,t,p,model_name,trial_id
mock,scale1,self,self,without_guess,intercept,25.59615384615384,0.9218316193461292,27.766626039915646,1.4180868837410284e-53,off_on_p3,21
mock,scale1,self,self,without_guess,conditionAC,4.124434389140273,1.2245817060816946,3.3680352798485482,0.001022943057432152,off_on_p3,21
mock,scale1,self,self,with_guess,intercept,19.89285714285714,0.8127491070507026,24.476012302300987,1.237841606958514e-47,off_on_p3,21
mock,scale1,self,self,with_guess,conditionAC,-0.44841269841269865,1.6479199383004501,-0.2721083033167013,0.7860224800821116,off_on_p3,21
mock,scale1,self,self,with_guess,guessAC,12.357142857142861,1.1963342929655496,10.329172146784481,3.94789267462334e-18,off_on_p3,21
mock,scale1,self,self,with_guess,conditionAC:guessAC,-0.5134517083669629,1.949302793697413,-0.263402745857176,0.7927074906999342,off_on_p3,21
