study,scale,guesser,respondent,model_type,component,est,se,t,p,model_name,trial_id
mock,scale1,self,self,without_guess,intercept,19.769230769230763,0.610105505644009,32.402970611391154,1.4149907014827326e-60,on_off_p3,40
mock,scale1,self,self,without_guess,conditionAC,13.789592760180996,0.8104777763224517,17.014152840502753,1.5224337345315551e-33,on_off_p3,40
mock,scale1,self,self,with_guess,intercept,19.851851851851844,0.8457640691130242,23.47209177693139,7.096759766454176e-46,on_off_p3,40
mock,scale1,self,self,with_guess,conditionAC,11.523148148148152,1.7690424712641766,6.513776992540822,1.965259563824919e-09,on_off_p3,40
mock,scale1,self,self,with_guess,guessAC,-0.17185185185184684,1.219778287252831,-0.14088777743280656,0.8882029644317537,on_off_p3,40
mock,scale1,self,self,with_guess,conditionAC:guessAC,2.6468518518518462,2.0552240904238337,1.287865330201538,0.20035611076531842,on_off_p3,40
