study,scale,guesser,respondent,model_type,component,est,se,t,p,model_name,trial_id
mock,scale1,self,self,without_guess,intercept,24.826923076923073,0.9037976075064982,27.469560519659343,4.262737648203958e-53,off_on_p2,23
mock,scale1,self,self,without_guess,conditionAC,4.423076923076924,1.200624922084919,3.6839789360661666,0.0003480078231507295,off_on_p2,23
mock,scale1,self,self,with_guess,intercept,19.04,0.8862245390355433,21.484397194328167,3.03127961719467e-42,off_on_p2,23
mock,scale1,self,self,with_guess,conditionAC,-0.914999999999998,1.7999305475638885,-0.5083529479725774,0.6121712503220194,off_on_p2,23
mock,scale1,self,self,with_guess,guessAC,11.145185185185184,1.2298823272018915,9.06199311810718,3.730072668851894e-15,off_on_p2,23
mock,scale1,self,self,with_guess,conditionAC:guessAC,1.4631481481481465,2.0722485501399364,0.7060678836278312,0.4815615922979526,off_on_p2,23
