study,scale,guesser,respondent,model_type,df1,df2,f,adjr2,p,model_name,trial_id
mock,scale1,self,self,without_guess,1.0,118.0,212.25250833283172,0.6396696558014615,3.8743870281918994e-28,on_on_p1,25
mock,scale1,self,self,with_guess,3.0,116.0,135.94382836291462,0.7728277062616045,8.111465598194764e-38,on_on_p1,25
