study,scale,guesser,respondent,model_type,component,est,se,t,p,model_name,trial_id
mock,scale1,self,self,without_guess,intercept,19.115384615384613,0.6559398757888443,29.14197675876334,9.704081033162406e-56,on_off_m1,17
mock,scale1,self,self,without_guess,conditionAC,10.134615384615383,0.8713651770268825,11.630732615681197,2.6752414437122177e-21,on_off_m1,17
mock,scale1,self,self,with_guess,intercept,18.75862068965517,0.8777177356674811,21.372042431602154,4.9311758942304753e-42,on_off_m1,17
mock,scale1,self,self,with_guess,conditionAC,8.641379310344828,1.733353642991088,4.985352726656055,2.1862378046900225e-06,on_off_m1,17
mock,scale1,self,self,with_guess,guessAC,0.806596701649176,1.3197529087290651,0.6111725129107208,0.5422811910638392,on_off_m1,17
mock,scale1,self,self,with_guess,conditionAC:guessAC,1.3623688155922034,2.0883171167274095,0.6523764061883304,0.5154490687856708,on_off_m1,17
