study,scale,guesser,respondent,model_type,component,est,se,t,p,model_name,trial_id
mock,scale1,self,self,without_guess,intercept,26.249999999999993,0.821969680235608,31.93548452112703,6.605273180182143e-60,off_on_p3,43
mock,scale1,self,self,without_guess,conditionAC,3.7794117647058845,1.0919228764189302,3.46124423833013,0.0007494349630007294,off_on_p3,43
mock,scale1,self,self,with_guess,intercept,21.629629629629623,0.8493491990837123,25.4661211819166,2.5453771321563595e-49,off_on_p3,43
mock,scale1,self,self,with_guess,conditionAC,0.2592592592592634,1.6986983981674249,0.15262230160395468,0.8789612928212184,off_on_p3,43
mock,scale1,self,self,with_guess,guessAC,9.610370370370374,1.2249488352282387,7.8455279877707875,2.342983518314428e-12,off_on_p3,43
mock,scale1,self,self,with_guess,conditionAC:guessAC,-0.22807281858129796,1.9987024092826313,-0.114110443616845,0.9093475135047807,off_on_p3,43
