study,scale,guesser,respondent,model_type,component,est,se,t,p,model_name,trial_id
mock,scale1,self,self,without_guess,intercept,19.615384615384613,0.5989438288456327,32.74995695871864,4.561061068358231e-61,off_off_0,38
mock,scale1,self,self,without_guess,conditionAC,1.06108597285068,0.7956503556421072,1.3336083687090927,0.1849008005499208,off_off_0,38
mock,scale1,self,self,with_guess,intercept,19.96774193548387,0.7796162989684109,25.61226844783159,1.447524193877865e-49,off_off_0,38
mock,scale1,self,self,with_guess,conditionAC,0.03225806451613208,1.5233833783547404,0.021175276673276365,0.9831422172542874,off_off_0,38
mock,scale1,self,self,with_guess,guessAC,-0.8725038402457738,1.226797647537891,-0.711204363651036,0.47838528122568613,off_off_0,38
mock,scale1,self,self,with_guess,conditionAC:guessAC,1.679521384105422,1.883742700688856,0.8915874675937677,0.37445976050229024,off_off_0,38
