study,scale,guesser,respondent,model_type,df1,df2,f,adjr2,p,model_name,trial_id
mock,scale1,self,self,without_guess,1.0,118.0,174.5433143225953,0.5932226300383829,5.13601878761965e-25,on_off_p1,45
mock,scale1,self,self,with_guess,3.0,116.0,57.243226289245825,0.5864173606689302,8.806627905809525e-23,on_off_p1,45
