study,scale,guesser,respondent,model_type,component,est,se,t,p,model_name,trial_id
mock,scale1,self,self,without_guess,intercept,19.538461538461537,0.5893715391334592,33.15134892191865,1.2458921737434471e-61,on_off_m1,11
mock,scale1,self,self,without_guess,conditionAC,9.873303167420815,0.7829343122554026,12.610640526123762,1.3033964576424791e-23,on_off_m1,11
mock,scale1,self,self,with_guess,intercept,19.642857142857142,0.809610788217602,24.26209905885995,2.905584433797734e-47,on_off_m1,11
mock,scale1,self,self,with_guess,conditionAC,10.157142857142857,1.5782219704191307,6.435813876324006,2.8712509496500996e-09,on_off_m1,11
mock,scale1,self,self,with_guess,guessAC,-0.22619047619047428,1.1917148127228434,-0.189802521354645,0.8497956111806579,on_off_m1,11
mock,scale1,self,self,with_guess,conditionAC:guessAC,-0.22898193760262875,1.8899557582355984,-0.12115730043141268,0.9037760652667229,on_off_m1,11
