study,scale,guesser,respondent,model_type,component,est,se,t,p,model_name,trial_id
mock,scale1,self,self,without_guess,intercept,24.269230769230763,0.8626421166829378,28.133602915832203,3.6847393468885857e-54,on_on_p2,46
mock,scale1,self,self,without_guess,conditionAC,15.907239819004525,1.1459530491423384,13.881231723158226,1.4470032782785016e-26,on_on_p2,46
mock,scale1,self,self,with_guess,intercept,19.699999999999992,0.844102824627463,23.338388908595828,1.2273841417067327e-45,on_on_p2,46
mock,scale1,self,self,with_guess,conditionAC,12.299999999999997,1.839679455254173,6.685947361574796,8.45055933198051e-10,on_on_p2,46
mock,scale1,self,self,with_guess,guessAC,10.800000000000002,1.2977340055982058,8.32219850401594,1.9223312449488857e-13,on_on_p2,46
mock,scale1,self,self,with_guess,conditionAC:guessAC,-1.5333333333333332,2.1707784912556654,-0.7063518177971221,0.4813857092684488,on_on_p2,46
