study,scale,guesser,respondent,model_type,component,est,se,t,p,model_name,trial_id
mock,scale1,self,self,without_guess,intercept,23.999999999999993,0.8953773881604795,26.8043400663793,5.174791434119342e-52,on_on_p2,21
mock,scale1,self,self,without_guess,conditionAC,16.73529411764706,1.189439314696399,14.069901600586237,5.333904257057123e-27,on_on_p2,21
mock,scale1,self,self,with_guess,intercept,18.892857142857135,0.8482292419686358,22.27329147366947,1.0385578112238997e-43,on_on_p2,21
mock,scale1,self,self,with_guess,conditionAC,12.607142857142861,1.6535031957442994,7.62450468169065,7.368727995493456e-12,on_on_p2,21
mock,scale1,self,self,with_guess,guessAC,11.065476190476192,1.2485596374822554,8.86259323005983,1.0858597458245863e-14,on_on_p2,21
mock,scale1,self,self,with_guess,conditionAC:guessAC,-0.23788998357963956,1.9801066926143338,-0.12013998259131863,0.9045800964105626,on_on_p2,21
