study,scale,guesser,respondent,model_type,component,est,se,t,p,model_name,trial_id
mock,scale1,self,self,without_guess,intercept,20.038461538461533,0.5623676767240724,35.63231381858647,5.374589834269669e-65,on_off_m1,23
mock,scale1,self,self,without_guess,conditionAC,9.888009049773755,0.7470617784801582,13.235865271932633,4.507094105092304e-25,on_off_m1,23
mock,scale1,self,self,with_guess,intercept,20.34615384615384,0.7950867544117862,25.589853853377477,1.5781818105233448e-49,on_off_m1,23
mock,scale1,self,self,with_guess,conditionAC,11.153846153846153,1.508571048823305,7.393649879829143,2.4128254267919204e-11,on_off_m1,23
mock,scale1,self,self,with_guess,guessAC,-0.6153846153846138,1.1244224713523545,-0.5472895028898562,0.5852312665069785,on_off_m1,23
mock,scale1,self,self,with_guess,conditionAC:guessAC,-1.2294429708222823,1.786430224341776,-0.6882121417730043,0.49269318192419176,on_off_m1,23
