study,scale,guesser,respondent,model_type,df1,df2,f,adjr2,p,model_name,trial_id
mock,scale1,self,self,without_guess,1.0,118.0,2.7303225849121344,0.014332129227064394,0.10111789541797929,off_on_p3,23
mock,scale1,self,self,with_guess,3.0,116.0,43.41079631554429,0.5167167060796723,6.957179072215656e-19,off_on_p3,23
