study,scale,guesser,respondent,model_type,component,est,se,t,p,model_name,trial_id
mock,scale1,self,self,without_guess,intercept,19.538461538461537,0.5884497649660558,33.203278685290314,1.0543134838082045e-61,on_off_m3,3
mock,scale1,self,self,without_guess,conditionAC,7.593891402714934,0.7817098068697643,9.714463520834533,9.533169449855503e-17,on_off_m3,3
mock,scale1,self,self,with_guess,intercept,20.149999999999995,0.9541147466173256,21.119053102825287,1.4833162861441593e-41,on_off_m3,3
mock,scale1,self,self,with_guess,conditionAC,6.725000000000003,1.784985244755332,3.7675381461888775,0.0002606675392906387,on_off_m3,3
mock,scale1,self,self,with_guess,guessAC,-0.9937499999999959,1.2162624278020948,-0.8170522884570227,0.41557345453461036,on_off_m3,3
mock,scale1,self,self,with_guess,conditionAC:guessAC,1.2854166666666624,2.0145909388265903,0.6380534340213803,0.5246964790041194,on_off_m3,3
