study,scale,guesser,respondent,model_type,component,est,se,t,p,model_name,trial_id
mock,scale1,self,self,without_guess,intercept,23.057692307692303,0.7447879052563391,30.958736232104048,1.75148226660434e-58,off_on_m1,37
mock,scale1,self,self,without_guess,conditionAC,3.486425339366518,0.9893928831978602,3.523802726473926,0.0006061986137364296,off_on_m1,37
mock,scale1,self,self,with_guess,intercept,19.40740740740741,0.8402533782998486,23.097089412096096,3.316068994604467e-45,off_on_m1,37
mock,scale1,self,self,with_guess,conditionAC,-0.4074074074074043,1.851828253040241,-0.22000280357454463,0.8262556744238851,off_on_m1,37
mock,scale1,self,self,with_guess,guessAC,7.592592592592591,1.2118306559367782,6.265390758515933,6.530887135173383e-09,off_on_m1,37
mock,scale1,self,self,with_guess,conditionAC:guessAC,0.8172434729811763,2.1223286441930225,0.3850692376118396,0.7008912617980035,off_on_m1,37
