study,scale,guesser,respondent,model_type,df1,df2,f,adjr2,p,model_name,trial_id
mock,scale1,self,self,without_guess,1.0,118.0,173.7830554274648,0.5921627463059365,5.993430769513706e-25,on_off_0,29
mock,scale1,self,self,with_guess,3.0,116.0,58.25763767232367,0.5907459234586456,4.800408585914596e-23,on_off_0,29
