study,scale,guesser,respondent,model_type,df1,df2,f,adjr2,p,model_name,trial_id
mock,scale1,self,self,without_guess,1.0,118.0,0.22721468595550404,-0.0065364418513726985,0.6344783593732097,off_off_0,47
mock,scale1,self,self,with_guess,3.0,116.0,0.5736057604692457,-0.010866240552292794,0.6334920328618545,off_off_0,47
