study,scale,guesser,respondent,model_type,component,est,se,t,p,cgr,cgr_trial_id
sbmd,CPS,self,self,without_guess,conditionAC,-0.017742673992674034,0.17656349294613377,-0.10048891589433492,0.9200649998782836,0.0,81
sbmd,CPS,self,self,with_guess,intercept,-0.3229166666666667,0.12316882680744505,-2.6217402165524866,0.009476480732294415,0.0,81
sbmd,CPS,self,self,with_guess,conditionAC,-0.017742673992674034,0.17656349294613377,-0.10048891589433492,0.9200649998782836,0.0,81
sbmd,CPS,self,self,without_guess,intercept,0.06249999999999995,0.11360924506091288,0.5501312852355446,0.5828929196701442,0.0,82
sbmd,CPS,self,self,without_guess,conditionAC,0.0034340659340660567,0.16285975647301998,0.021086031371015578,0.9831997527802063,0.0,82
sbmd,CPS,self,self,with_guess,intercept,0.06249999999999995,0.11360924506091288,0.5501312852355446,0.5828929196701442,0.0,82
sbmd,CPS,self,self,with_guess,conditionAC,0.0034340659340660567,0.16285975647301998,0.021086031371015578,0.9831997527802063,0.0,82
sbmd,CPS,self,self,without_guess,intercept,-0.04166666666666664,0.12094536060874865,-0.3445081849931882,0.7308554502545992,0.0,83
sbmd,CPS,self,self,without_guess,conditionAC,0.01968864468864461,0.17337613646426,0.11356029203421114,0.9097095066192825,0.0,83
sbmd,CPS,self,self,with_guess,intercept,-0.04166666666666664,0.12094536060874865,-0.3445081849931882,0.7308554502545992,0.0,83
sbmd,CPS,self,self,with_guess,conditionAC,0.01968864468864461,0.17337613646426,0.11356029203421114,0.9097095066192825,0.0,83
sbmd,CPS,self,self,without_guess,intercept,-0.22916666666666663,0.12462995502236084,-1.8387767742157175,0.06755115821493825,0.0,84
sbmd,CPS,self,self,without_guess,conditionAC,0.19619963369963364,0.17865803186441864,1.0981853524980456,0.2735507791959169,0.0,84
sbmd,CPS,self,self,with_guess,intercept,-0.22916666666666666,0.12462995502236084,-1.8387767742157177,0.06755115821493818,0.0,84
sbmd,CPS,self,self,with_guess,conditionAC,0.1961996336996337,0.17865803186441864,1.0981853524980458,0.27355077919591686,0.0,84
