study,scale,guesser,respondent,strata,est,se,df,lower_CI,upper_CI,cgr,cgr_trial_id
sbmd,PANAS,self,self,ACAC,24.0,3.867574,229.0,16.37942,31.62058,0.07143,13
sbmd,PANAS,self,self,PLPL,9.916667,2.604254,229.0,4.785304,15.04803,0.07143,14
sbmd,PANAS,self,self,ACPL,12.57895,0.8449316,229.0,10.91411,14.24378,0.07143,14
sbmd,PANAS,self,self,PLAC,18.47059,0.8932518,229.0,16.71055,20.23063,0.07143,14
sbmd,PANAS,self,self,ACAC,22.6,4.034493,229.0,14.65053,30.54947,0.07143,14
sbmd,PANAS,self,self,PLPL,11.41667,2.621402,229.0,6.251515,16.58182,0.07143,15
sbmd,PANAS,self,self,ACPL,12.46491,0.8504952,229.0,10.78912,14.14071,0.07143,15
sbmd,PANAS,self,self,PLAC,17.5098,0.8991335,229.0,15.73817,19.28144,0.07143,15
sbmd,PANAS,self,self,ACAC,22.8,4.061059,229.0,14.79818,30.80182,0.07143,15
sbmd,PANAS,self,self,PLPL,12.25,2.657894,229.0,7.012947,17.48705,0.07143,16
sbmd,PANAS,self,self,ACPL,11.42982,0.8623346,229.0,9.7307,13.12895,0.07143,16
sbmd,PANAS,self,self,PLAC,18.30392,0.91165,229.0,16.50763,20.10022,0.07143,16
sbmd,PANAS,self,self,ACAC,21.6,4.117591,229.0,13.48679,29.71321,0.07143,16
sbmd,PANAS,self,self,PLPL,11.16667,2.697764,229.0,5.851054,16.48228,0.07143,17
sbmd,PANAS,self,self,ACPL,13.27193,0.8752702,229.0,11.54732,14.99654,0.07143,17
sbmd,PANAS,self,self,PLAC,18.60784,0.9253254,229.0,16.7846,20.43108,0.07143,17
sbmd,PANAS,self,self,ACAC,22.6,4.179358,229.0,14.36509,30.83491,0.07143,17
sbmd,PANAS,self,self,PLPL,10.0,2.648721,229.0,4.781019,15.21898,0.07143,18
sbmd,PANAS,self,self,ACPL,13.0614,0.8593587,229.0,11.36814,14.75466,0.07143,18
sbmd,PANAS,self,self,PLAC,18.03922,0.908504,229.0,16.24912,19.82931,0.07143,18
sbmd,PANAS,self,self,ACAC,20.8,4.103382,229.0,12.71479,28.88521,0.07143,18
sbmd,PANAS,self,self,PLPL,7.916667,2.642766,229.0,2.70942,13.12391,0.07143,19
sbmd,PANAS,self,self,ACPL,12.73684,0.8574265,229.0,11.04739,14.4263,0.07143,19
sbmd,PANAS,self,self,PLAC,18.14706,0.9064613,229.0,16.36099,19.93313,0.07143,19
sbmd,PANAS,self,self,ACAC,19.2,4.094156,229.0,11.13297,27.26703,0.07143,19
sbmd,PANAS,self,self,PLPL,8.333333,2.754186,229.0,2.906548,13.76012,0.07143,20
sbmd,PANAS,self,self,ACPL,11.99123,0.8935759,229.0,10.23055,13.75191,0.07143,20
sbmd,PANAS,self,self,PLAC,16.91176,0.944678,229.0,15.05039,18.77314,0.07143,20
sbmd,PANAS,self,self,ACAC,21.4,4.266766,229.0,12.99286,29.80714,0.07143,20
sbmd,PANAS,self,self,PLPL,13.91667,2.728001,229.0,8.541475,19.29186,0.07143,21
sbmd,PANAS,self,self,ACPL,11.58772,0.8850806,229.0,9.843777,13.33166,0.07143,21
sbmd,PANAS,self,self,PLAC,16.54902,0.9356968,229.0,14.70534,18.3927,0.07143,21
sbmd,PANAS,self,self,ACAC,19.2,4.226202,229.0,10.87279,27.52721,0.07143,21
sbmd,PANAS,self,self,PLPL,13.66667,2.784561,229.0,8.18003,19.1533,0.07143,22
sbmd,PANAS,self,self,ACPL,12.31579,0.903431,229.0,10.53569,14.09589,0.07143,22
sbmd,PANAS,self,self,PLAC,17.35294,0.9550967,229.0,15.47104,19.23484,0.07143,22
sbmd,PANAS,self,self,ACAC,19.2,4.313824,229.0,10.70014,27.69986,0.07143,22
sbmd,PANAS,self,self,PLPL,6.75,2.707947,229.0,1.414323,12.08568,0.07143,23
sbmd,PANAS,self,self,ACPL,12.70175,0.878574,229.0,10.97063,14.43288,0.07143,23
sbmd,PANAS,self,self,PLAC,18.02941,0.9288182,229.0,16.19929,19.85953,0.07143,23
sbmd,PANAS,self,self,ACAC,19.0,4.195134,229.0,10.734,27.266,0.07143,23
sbmd,PANAS,self,self,PLPL,15.16667,2.683936,229.0,9.8783,20.45503,0.07143,24
sbmd,PANAS,self,self,ACPL,12.38596,0.8707839,229.0,10.67019,14.10174,0.07143,24
sbmd,PANAS,self,self,PLAC,17.7451,0.9205826,229.0,15.9312,19.55899,0.07143,24
sbmd,PANAS,self,self,ACAC,17.6,4.157936,229.0,9.407297,25.7927,0.07143,24
sbmd,PANAS,self,self,PLPL,9.916667,2.583878,229.0,4.825451,15.00788,0.07143,25
sbmd,PANAS,self,self,ACPL,12.61404,0.8383208,229.0,10.96223,14.26584,0.07143,25
sbmd,PANAS,self,self,PLAC,18.38235,0.886263,229.0,16.63608,20.12863,0.07143,25
sbmd,PANAS,self,self,ACAC,22.2,4.002927,229.0,14.31272,30.08728,0.07143,25
sbmd,PANAS,self,self,PLPL,8.333333,2.632754,229.0,3.145815,13.52085,0.07143,26
sbmd,PANAS,self,self,ACPL,13.80702,0.8541781,229.0,12.12396,15.49007,0.07143,26
sbmd,PANAS,self,self,PLAC,16.03922,0.903027,229.0,14.25991,17.81852,0.07143,26
sbmd,PANAS,self,self,ACAC,18.6,4.078644,229.0,10.56353,26.63647,0.07143,26
sbmd,PANAS,self,self,PLPL,9.0,2.540802,229.0,3.993661,14.00634,0.07143,27
sbmd,PANAS,self,self,ACPL,12.63158,0.8243451,229.0,11.00731,14.25585,0.07143,27
sbmd,PANAS,self,self,PLAC,19.2451,0.871488,229.0,17.52794,20.96226,0.07143,27
sbmd,PANAS,self,self,ACAC,20.2,3.936194,229.0,12.44421,27.95579,0.07143,27
sbmd,PANAS,self,self,PLPL,11.83333,2.679834,229.0,6.553049,17.11362,0.07143,28
sbmd,PANAS,self,self,ACPL,13.14912,0.869453,229.0,11.43597,14.86227,0.07143,28
sbmd,PANAS,self,self,PLAC,19.51961,0.9191755,229.0,17.70849,21.33073,0.07143,28
sbmd,PANAS,self,self,ACAC,14.6,4.151581,229.0,6.419819,22.78018,0.07143,28
sbmd,PANAS,self,self,PLPL,14.75,2.693242,229.0,9.443297,20.0567,0.07143,29
sbmd,PANAS,self,self,ACPL,11.30702,0.8738032,229.0,9.585296,13.02874,0.07143,29
sbmd,PANAS,self,self,PLAC,18.51961,0.9237745,229.0,16.69942,20.33979,0.07143,29
sbmd,PANAS,self,self,ACAC,23.2,4.172353,229.0,14.97889,31.42111,0.07143,29
sbmd,PANAS,self,self,PLPL,11.08333,2.603964,229.0,5.952542,16.21412,0.07143,30
sbmd,PANAS,self,self,ACPL,13.89474,0.8448375,229.0,12.23009,15.55939,0.07143,30
sbmd,PANAS,self,self,PLAC,19.27451,0.8931523,229.0,17.51466,21.03436,0.07143,30
sbmd,PANAS,self,self,ACAC,16.4,4.034044,229.0,8.451412,24.34859,0.07143,30
sbmd,PANAS,self,self,PLPL,13.5,2.544954,229.0,8.485481,18.51452,0.07143,31
sbmd,PANAS,self,self,ACPL,12.76316,0.8256921,229.0,11.13623,14.39008,0.07143,31
sbmd,PANAS,self,self,PLAC,19.22549,0.872912,229.0,17.50552,20.94546,0.07143,31
sbmd,PANAS,self,self,ACAC,19.8,3.942626,229.0,12.03154,27.56846,0.07143,31
sbmd,PANAS,self,self,PLPL,13.58333,2.732973,229.0,8.198345,18.96832,0.07143,32
sbmd,PANAS,self,self,ACPL,12.95614,0.8866936,229.0,11.20902,14.70326,0.07143,32
sbmd,PANAS,self,self,PLAC,18.58824,0.9374021,229.0,16.7412,20.43527,0.07143,32
sbmd,PANAS,self,self,ACAC,14.8,4.233904,229.0,6.457612,23.14239,0.07143,32
sbmd,PANAS,self,self,PLPL,13.66667,2.592455,229.0,8.558553,18.77478,0.07143,33
sbmd,PANAS,self,self,ACPL,13.34211,0.8411034,229.0,11.68481,14.9994,0.07143,33
sbmd,PANAS,self,self,PLAC,17.64706,0.8892047,229.0,15.89499,19.39913,0.07143,33
sbmd,PANAS,self,self,ACAC,21.4,4.016214,229.0,13.48654,29.31346,0.07143,33
sbmd,PANAS,self,self,PLPL,10.25,2.612849,229.0,5.101702,15.3983,0.07143,34
sbmd,PANAS,self,self,ACPL,12.59649,0.84772,229.0,10.92616,14.26682,0.07143,34
sbmd,PANAS,self,self,PLAC,19.05882,0.8961997,229.0,17.29297,20.82468,0.07143,34
sbmd,PANAS,self,self,ACAC,20.6,4.047808,229.0,12.62429,28.57571,0.07143,34
sbmd,PANAS,self,self,PLPL,9.333333,2.43615,229.0,4.533198,14.13347,0.07143,35
sbmd,PANAS,self,self,ACPL,14.9386,0.7903916,229.0,13.38123,16.49597,0.07143,35
sbmd,PANAS,self,self,PLAC,17.7549,0.8355927,229.0,16.10847,19.40133,0.07143,35
sbmd,PANAS,self,self,ACAC,11.2,3.774068,229.0,3.763662,18.63634,0.07143,35
sbmd,PANAS,self,self,PLPL,10.25,2.681666,229.0,4.966106,15.53389,0.07143,36
sbmd,PANAS,self,self,ACPL,13.34211,0.8700474,229.0,11.62778,15.05643,0.07143,36
sbmd,PANAS,self,self,PLAC,17.20588,0.9198039,229.0,15.39352,19.01824,0.07143,36
sbmd,PANAS,self,self,ACAC,12.4,4.154419,229.0,4.214226,20.58577,0.07143,36
sbmd,PANAS,self,self,PLPL,15.0,2.490135,229.0,10.09349,19.90651,0.07143,37
sbmd,PANAS,self,self,ACPL,12.79825,0.8079066,229.0,11.20636,14.39013,0.07143,37
sbmd,PANAS,self,self,PLAC,19.16667,0.8541094,229.0,17.48375,20.84958,0.07143,37
sbmd,PANAS,self,self,ACAC,25.6,3.857701,229.0,17.99887,33.20113,0.07143,37
sbmd,PANAS,self,self,PLPL,10.41667,2.743128,229.0,5.011669,15.82166,0.07143,38
sbmd,PANAS,self,self,ACPL,12.50877,0.8899884,229.0,10.75516,14.26238,0.07143,38
sbmd,PANAS,self,self,PLAC,17.89216,0.9408853,229.0,16.03826,19.74606,0.07143,38
sbmd,PANAS,self,self,ACAC,23.2,4.249636,229.0,14.82661,31.57339,0.07143,38
sbmd,PANAS,self,self,PLPL,13.66667,2.608685,229.0,8.526572,18.80676,0.07143,39
sbmd,PANAS,self,self,ACPL,12.85965,0.8463693,229.0,11.19198,14.52732,0.07143,39
sbmd,PANAS,self,self,PLAC,19.36275,0.8947717,229.0,17.59971,21.12578,0.07143,39
sbmd,PANAS,self,self,ACAC,19.8,4.041358,229.0,11.837,27.763,0.07143,39
sbmd,PANAS,self,self,PLPL,12.91667,2.657786,229.0,7.679826,18.15351,0.07143,40
sbmd,PANAS,self,self,ACPL,12.5,0.8622996,229.0,10.80094,14.19906,0.07143,40
sbmd,PANAS,self,self,PLAC,19.29412,0.911613,229.0,17.4979,21.09034,0.07143,40
sbmd,PANAS,self,self,ACAC,18.2,4.117424,229.0,10.08712,26.31288,0.07143,40
sbmd,PANAS,self,self,PLPL,13.41667,2.711529,229.0,8.073932,18.7594,0.07143,41
sbmd,PANAS,self,self,ACPL,11.99123,0.8797361,229.0,10.25782,13.72464,0.07143,41
sbmd,PANAS,self,self,PLAC,17.21569,0.9300467,229.0,15.38314,19.04823,0.07143,41
sbmd,PANAS,self,self,ACAC,25.4,4.200682,229.0,17.12307,33.67693,0.07143,41
sbmd,PANAS,self,self,PLPL,10.83333,2.777019,229.0,5.361558,16.30511,0.07143,42
sbmd,PANAS,self,self,ACPL,12.54386,0.9009839,229.0,10.76858,14.31914,0.07143,42
sbmd,PANAS,self,self,PLAC,18.92157,0.9525096,229.0,17.04477,20.79837,0.07143,42
sbmd,PANAS,self,self,ACAC,19.8,4.302139,229.0,11.32316,28.27684,0.07143,42
sbmd,PANAS,self,self,PLPL,10.91667,2.50671,229.0,5.977502,15.85583,0.07143,43
sbmd,PANAS,self,self,ACPL,14.16667,0.8132842,229.0,12.56419,15.76914,0.07143,43
sbmd,PANAS,self,self,PLAC,18.07843,0.8597945,229.0,16.38431,19.77255,0.07143,43
sbmd,PANAS,self,self,ACAC,19.6,3.883379,229.0,11.94828,27.25172,0.07143,43
sbmd,PANAS,self,self,PLPL,10.0,2.427399,229.0,5.217109,14.78289,0.07143,44
sbmd,PANAS,self,self,ACPL,15.28947,0.7875521,229.0,13.7377,16.84125,0.07143,44
sbmd,PANAS,self,self,PLAC,18.64706,0.8325909,229.0,17.00654,20.28758,0.07143,44
sbmd,PANAS,self,self,ACAC,20.4,3.76051,229.0,12.99038,27.80962,0.07143,44
sbmd,PANAS,self,self,PLPL,9.083333,2.735618,229.0,3.693133,14.47353,0.07143,45
sbmd,PANAS,self,self,ACPL,13.34211,0.8875518,229.0,11.59329,15.09092,0.07143,45
sbmd,PANAS,self,self,PLAC,18.69608,0.9383093,229.0,16.84726,20.5449,0.07143,45
sbmd,PANAS,self,self,ACAC,18.8,4.238002,229.0,10.44954,27.15046,0.07143,45
sbmd,PANAS,self,self,PLPL,14.41667,2.560577,229.0,9.371363,19.46197,0.07143,46
sbmd,PANAS,self,self,ACPL,12.21053,0.830761,229.0,10.57361,13.84744,0.07143,46
sbmd,PANAS,self,self,PLAC,17.95098,0.8782708,229.0,16.22046,19.68151,0.07143,46
sbmd,PANAS,self,self,ACAC,13.2,3.96683,229.0,5.383849,21.01615,0.07143,46
sbmd,PANAS,self,self,PLPL,9.166667,2.684573,229.0,3.877045,14.45629,0.07143,47
sbmd,PANAS,self,self,ACPL,12.17544,0.8709905,229.0,10.45926,13.89162,0.07143,47
sbmd,PANAS,self,self,PLAC,18.35294,0.920801,229.0,16.53862,20.16727,0.07143,47
sbmd,PANAS,self,self,ACAC,19.6,4.158923,229.0,11.40535,27.79465,0.07143,47
sbmd,PANAS,self,self,PLPL,14.41667,2.600973,229.0,9.291769,19.54156,0.07143,48
sbmd,PANAS,self,self,ACPL,13.41228,0.843867,229.0,11.74954,15.07502,0.07143,48
sbmd,PANAS,self,self,PLAC,18.96078,0.8921263,229.0,17.20296,20.71861,0.07143,48
sbmd,PANAS,self,self,ACAC,21.0,4.02941,229.0,13.06054,28.93946,0.07143,48
sbmd,PANAS,self,self,PLPL,8.083333,2.742678,229.0,2.679223,13.48744,0.07143,49
sbmd,PANAS,self,self,ACPL,11.74561,0.8898422,229.0,9.992289,13.49894,0.07143,49
sbmd,PANAS,self,self,PLAC,18.15686,0.9407307,229.0,16.30327,20.01046,0.07143,49
sbmd,PANAS,self,self,ACAC,14.6,4.248938,229.0,6.227989,22.97201,0.07143,49
