study,scale,guesser,respondent,model_type,component,est,se,t,p,cgr,cgr_trial_id
sbmd,creativity,self,self,without_guess,conditionAC,-15.576496674057646,2.2029689424892305,-7.07068373667451,1.8150954175948533e-11,0.0,31
sbmd,creativity,self,self,with_guess,intercept,64.45454545454545,1.600600579172956,40.268975466602456,2.0748197464019535e-106,0.0,31
sbmd,creativity,self,self,with_guess,conditionAC,-15.57649667405765,2.2029689424892305,-7.070683736674511,1.8150954175948265e-11,0.0,31
sbmd,creativity,self,self,without_guess,intercept,62.136363636363654,1.6104053894314228,38.58429935974184,1.1263939637900697e-102,0.0,32
sbmd,creativity,self,self,without_guess,conditionAC,-11.071322985957131,2.2164636848799666,-4.995039197566056,1.1602943946235972e-06,0.0,32
sbmd,creativity,self,self,with_guess,intercept,62.13636363636365,1.6104053894314228,38.584299359741834,1.1263939637901016e-102,0.0,32
sbmd,creativity,self,self,with_guess,conditionAC,-11.071322985957128,2.2164636848799666,-4.995039197566054,1.1602943946236065e-06,0.0,32
sbmd,creativity,self,self,without_guess,intercept,65.9818181818182,1.522589023264698,43.335277723427694,6.489964421405413e-113,0.0,33
sbmd,creativity,self,self,without_guess,conditionAC,-16.689135254988912,2.0955985984712657,-7.963898843587506,7.538975944251589e-14,0.0,33
sbmd,creativity,self,self,with_guess,intercept,65.9818181818182,1.522589023264698,43.335277723427694,6.489964421405413e-113,0.0,33
sbmd,creativity,self,self,with_guess,conditionAC,-16.689135254988912,2.0955985984712657,-7.963898843587506,7.538975944251589e-14,0.0,33
sbmd,creativity,self,self,without_guess,intercept,64.47272727272728,1.4871465774415902,43.35331046092499,5.957378772965379e-113,0.0,34
sbmd,creativity,self,self,without_guess,conditionAC,-15.180044345898002,2.046817779314929,-7.416412198148275,2.272482055636259e-12,0.0,34
sbmd,creativity,self,self,with_guess,intercept,64.47272727272728,1.4871465774415902,43.35331046092499,5.957378772965379e-113,0.0,34
sbmd,creativity,self,self,with_guess,conditionAC,-15.180044345897999,2.046817779314929,-7.416412198148273,2.2724820556362754e-12,0.0,34
sbmd,creativity,self,self,without_guess,intercept,65.92727272727274,1.5186733892712998,43.41109365122043,4.5287275755922543e-113,0.0,35
sbmd,creativity,self,self,without_guess,conditionAC,-15.756541019955652,2.0902093588384343,-7.538259721845201,1.0776074389197002e-12,0.0,35
sbmd,creativity,self,self,with_guess,intercept,65.92727272727274,1.5186733892712998,43.41109365122043,4.5287275755922543e-113,0.0,35
sbmd,creativity,self,self,with_guess,conditionAC,-15.756541019955652,2.0902093588384343,-7.538259721845201,1.0776074389197002e-12,0.0,35
sbmd,creativity,self,self,without_guess,intercept,65.10000000000001,1.472471596822759,44.2113791128265,1.0457144411491159e-114,0.0,36
sbmd,creativity,self,self,without_guess,conditionAC,-14.953658536585367,2.026620031697206,-7.378619722840857,2.8601040751644024e-12,0.0,36
sbmd,creativity,self,self,with_guess,intercept,65.1,1.472471596822759,44.211379112826485,1.045714441149235e-114,0.0,36
sbmd,creativity,self,self,with_guess,conditionAC,-14.953658536585365,2.026620031697206,-7.378619722840856,2.8601040751644238e-12,0.0,36
sbmd,creativity,self,self,without_guess,intercept,64.89090909090909,1.5666438626752592,41.42033211051487,6.783193738231718e-109,0.0,37
sbmd,creativity,self,self,without_guess,conditionAC,-13.915299334811525,2.156232990493018,-6.453523063678672,6.353339026252957e-10,0.0,37
sbmd,creativity,self,self,with_guess,intercept,64.89090909090909,1.5666438626752592,41.42033211051487,6.783193738231718e-109,0.0,37
sbmd,creativity,self,self,with_guess,conditionAC,-13.915299334811525,2.156232990493018,-6.453523063678672,6.353339026252957e-10,0.0,37
sbmd,creativity,self,self,without_guess,intercept,63.97272727272728,1.4627606643654394,43.73424089885498,9.824652630079469e-114,0.0,38
sbmd,creativity,self,self,without_guess,conditionAC,-11.127198817442718,2.013254496982018,-5.526970799828345,8.769061253786356e-08,0.0,38
sbmd,creativity,self,self,with_guess,intercept,63.972727272727276,1.4627606643654394,43.73424089885498,9.824652630079469e-114,0.0,38
sbmd,creativity,self,self,with_guess,conditionAC,-11.12719881744272,2.013254496982018,-5.526970799828346,8.769061253786307e-08,0.0,38
sbmd,creativity,self,self,without_guess,intercept,63.4909090909091,1.3794103307704328,46.0275725609855,2.458409401376104e-118,0.0,39
sbmd,creativity,self,self,without_guess,conditionAC,-12.141315594974131,1.898536185215073,-6.395093066713774,8.800214093918308e-10,0.0,39
sbmd,creativity,self,self,with_guess,intercept,63.4909090909091,1.3794103307704328,46.0275725609855,2.458409401376104e-118,0.0,39
sbmd,creativity,self,self,with_guess,conditionAC,-12.141315594974131,1.898536185215073,-6.395093066713774,8.800214093918308e-10,0.0,39
sbmd,creativity,self,self,without_guess,intercept,61.636363636363654,1.6139802019396638,38.189045666291165,8.816231700724862e-102,0.0,40
sbmd,creativity,self,self,without_guess,conditionAC,-10.668883961566888,2.221383838623099,-4.802809751321448,2.8138634764999607e-06,0.0,40
