study,scale,guesser,respondent,contrast,type,est,se,df,t,p,p_adj,cgr,cgr_trial_id
sbmd,PANAS,self,self,PLPLvsACPL,fixGuess,-4.258772,2.875996,229.0,-1.480799,0.1400347,0.4507725,0.07143,45
sbmd,PANAS,self,self,PLACvsACAC,fixGuess,-0.1039216,4.340632,229.0,-0.02394158,0.9809201,0.9999951,0.07143,45
sbmd,PANAS,self,self,PLPLvsPLAC,fixCondition,-3.534314,2.707013,229.0,-1.305614,0.192994,0.5602905,0.07143,46
sbmd,PANAS,self,self,ACPLvsACAC,fixCondition,-0.9894737,4.052888,229.0,-0.2441404,0.8073407,0.9948734,0.07143,46
sbmd,PANAS,self,self,PLPLvsACPL,fixGuess,2.20614,2.691973,229.0,0.8195253,0.4133389,0.8452008,0.07143,46
sbmd,PANAS,self,self,PLACvsACAC,fixGuess,4.75098,4.062893,229.0,1.169359,0.2434747,0.6467943,0.07143,46
sbmd,PANAS,self,self,PLPLvsPLAC,fixCondition,-9.186275,2.838099,229.0,-3.23677,0.001387877,0.007532149,0.07143,47
sbmd,PANAS,self,self,ACPLvsACAC,fixCondition,-7.424561,4.249149,229.0,-1.747306,0.08192482,0.301762,0.07143,47
sbmd,PANAS,self,self,PLPLvsACPL,fixGuess,-3.008772,2.822332,229.0,-1.066059,0.2875197,0.7105301,0.07143,47
sbmd,PANAS,self,self,PLACvsACAC,fixGuess,-1.247059,4.259638,229.0,-0.2927617,0.7699694,0.9912466,0.07143,47
sbmd,PANAS,self,self,PLPLvsPLAC,fixCondition,-4.544118,2.749718,229.0,-1.652576,0.09978755,0.3514072,0.07143,48
sbmd,PANAS,self,self,ACPLvsACAC,fixCondition,-7.587719,4.116826,229.0,-1.843099,0.06660687,0.2559348,0.07143,48
sbmd,PANAS,self,self,PLPLvsACPL,fixGuess,1.004386,2.734442,229.0,0.3673094,0.7137275,0.9830298,0.07143,48
sbmd,PANAS,self,self,PLACvsACAC,fixGuess,-2.039216,4.126988,229.0,-0.4941172,0.6216971,0.9603402,0.07143,48
sbmd,PANAS,self,self,PLPLvsPLAC,fixCondition,-10.07353,2.899527,229.0,-3.474198,0.0006126424,0.003408877,0.07143,49
sbmd,PANAS,self,self,ACPLvsACAC,fixCondition,-2.854386,4.341117,229.0,-0.6575234,0.5115048,0.9128152,0.07143,49
sbmd,PANAS,self,self,PLPLvsACPL,fixGuess,-3.662281,2.883418,229.0,-1.270118,0.2053317,0.5828992,0.07143,49
sbmd,PANAS,self,self,PLACvsACAC,fixGuess,3.556863,4.351833,229.0,0.8173252,0.4145921,0.8462459,0.07143,49
sbmd,PANAS,self,self,PLPLvsPLAC,fixCondition,-6.04902,2.5482,229.0,-2.37384,0.01843026,0.08506484,0.07143,50
sbmd,PANAS,self,self,ACPLvsACAC,fixCondition,-8.912281,3.815117,229.0,-2.336044,0.02035308,0.09295757,0.07143,50
sbmd,PANAS,self,self,PLPLvsACPL,fixGuess,0.745614,2.534044,229.0,0.2942388,0.7688419,0.9911163,0.07143,50
sbmd,PANAS,self,self,PLACvsACAC,fixGuess,-2.117647,3.824535,229.0,-0.5537005,0.5803241,0.9454712,0.07143,50
sbmd,PANAS,self,self,PLPLvsPLAC,fixCondition,-7.926471,2.66488,229.0,-2.974419,0.003249727,0.01701622,0.07143,51
sbmd,PANAS,self,self,ACPLvsACAC,fixCondition,-6.798246,3.989808,229.0,-1.703903,0.08975573,0.3239971,0.07143,51
sbmd,PANAS,self,self,PLPLvsACPL,fixGuess,-3.451754,2.650075,229.0,-1.302512,0.1940499,0.5622651,0.07143,51
sbmd,PANAS,self,self,PLACvsACAC,fixGuess,-2.323529,3.999657,229.0,-0.5809321,0.5618575,0.9377385,0.07143,51
sbmd,PANAS,self,self,PLPLvsPLAC,fixCondition,-4.980392,3.026071,229.0,-1.645828,0.101171,0.355097,0.07143,52
sbmd,PANAS,self,self,ACPLvsACAC,fixCondition,-12.85789,4.530577,229.0,-2.838026,0.004946849,0.02532144,0.07143,52
sbmd,PANAS,self,self,PLPLvsACPL,fixGuess,0.1578947,3.00926,229.0,0.05246963,0.9582002,0.999948,0.07143,52
sbmd,PANAS,self,self,PLACvsACAC,fixGuess,-7.719608,4.541761,229.0,-1.699695,0.09054614,0.3261995,0.07143,52
sbmd,PANAS,self,self,PLPLvsPLAC,fixCondition,-8.622549,2.783675,229.0,-3.097542,0.002195122,0.01170288,0.07143,53
sbmd,PANAS,self,self,ACPLvsACAC,fixCondition,-5.377193,4.167666,229.0,-1.290217,0.1982766,0.5700941,0.07143,53
sbmd,PANAS,self,self,PLPLvsACPL,fixGuess,-4.039474,2.76821,229.0,-1.459237,0.1458703,0.4639267,0.07143,53
sbmd,PANAS,self,self,PLACvsACAC,fixGuess,-0.7941176,4.177954,229.0,-0.1900734,0.84942,0.9975592,0.07143,53
sbmd,PANAS,self,self,PLPLvsPLAC,fixCondition,-6.088235,2.825564,229.0,-2.154697,0.03222896,0.1392503,0.07143,54
sbmd,PANAS,self,self,ACPLvsACAC,fixCondition,-0.4929825,4.230381,229.0,-0.1165338,0.9073316,0.9994327,0.07143,54
sbmd,PANAS,self,self,PLPLvsACPL,fixGuess,-0.4736842,2.809866,229.0,-0.1685789,0.8662767,0.9982921,0.07143,54
sbmd,PANAS,self,self,PLACvsACAC,fixGuess,5.121569,4.240824,229.0,1.207682,0.2284152,0.6226022,0.07143,54
sbmd,PANAS,self,self,PLPLvsPLAC,fixCondition,-8.995098,2.92023,229.0,-3.08027,0.002321043,0.01234465,0.07143,55
sbmd,PANAS,self,self,ACPLvsACAC,fixCondition,-4.757895,4.372114,229.0,-1.088237,0.2776346,0.6970856,0.07143,55
sbmd,PANAS,self,self,PLPLvsACPL,fixGuess,-2.925439,2.904007,229.0,-1.00738,0.3148154,0.7452655,0.07143,55
sbmd,PANAS,self,self,PLACvsACAC,fixGuess,1.311765,4.382906,229.0,0.2992911,0.7649894,0.9906614,0.07143,55
sbmd,PANAS,self,self,PLPLvsPLAC,fixCondition,-7.779412,2.534341,229.0,-3.069599,0.002402136,0.01275681,0.07143,56
sbmd,PANAS,self,self,ACPLvsACAC,fixCondition,-6.091228,3.794368,229.0,-1.605334,0.1097984,0.3776381,0.07143,56
sbmd,PANAS,self,self,PLPLvsACPL,fixGuess,-2.925439,2.520262,229.0,-1.160768,0.2469449,0.6521873,0.07143,56
sbmd,PANAS,self,self,PLACvsACAC,fixGuess,-1.237255,3.803734,229.0,-0.3252737,0.7452709,0.988085,0.07143,56
sbmd,PANAS,self,self,PLPLvsPLAC,fixCondition,-7.406863,2.863093,229.0,-2.587014,0.01029945,0.05012727,0.07143,57
sbmd,PANAS,self,self,ACPLvsACAC,fixCondition,-12.3386,4.286569,229.0,-2.878432,0.004374804,0.02255159,0.07143,57
sbmd,PANAS,self,self,PLPLvsACPL,fixGuess,-2.144737,2.847187,229.0,-0.7532827,0.4520538,0.8751928,0.07143,57
sbmd,PANAS,self,self,PLACvsACAC,fixGuess,-7.076471,4.297151,229.0,-1.646782,0.1009744,0.354574,0.07143,57
sbmd,PANAS,self,self,PLPLvsPLAC,fixCondition,-10.5098,2.883609,229.0,-3.64467,0.0003312977,0.001870028,0.07143,58
